epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3037.91,0.62743,0.98062,0.96465,0.99662,0.125,0.12437,0.06223,2.25997,5.33961,2.8379,8.8126e-05,8.8126e-05,8.8126e-05
87,3075.33,0.64019,1.07896,0.9563,0.99656,0.125,0.12437,0.06239,2.23021,5.36141,2.83149,8.26216e-05,8.26216e-05,8.26216e-05
88,3116.31,0.65546,0.97695,0.94001,0.99656,0.125,0.12437,0.06506,2.26903,5.27034,2.86634,7.71172e-05,7.71172e-05,7.71172e-05
89,3156.09,0.6195,0.93207,0.92805,0.99663,0.125,0.12437,0.06506,2.27908,5.25295,2.85043,7.16128e-05,7.16128e-05,7.16128e-05
90,3197.69,0.63322,1.01135,0.93942,0.99661,0.125,0.12437,0.0653,2.27115,5.23673,2.82575,6.61084e-05,6.61084e-05,6.61084e-05
91,3238.98,0.60301,1.47021,0.93148,0.99664,0.125,0.12437,0.06426,2.27351,5.24445,2.80857,6.0604e-05,6.0604e-05,6.0604e-05
92,3277.87,0.57998,1.30223,0.93781,0.99662,0.125,0.12437,0.06302,2.29207,5.21148,2.74833,5.50996e-05,5.50996e-05,5.50996e-05
93,3315.98,0.60074,1.3117,0.92842,0.99664,0.125,0.12437,0.06288,2.27578,5.24692,2.72266,4.95952e-05,4.95952e-05,4.95952e-05
94,3354.85,0.61033,1.29213,0.93389,0.99661,0.125,0.12437,0.06426,2.29392,5.25773,2.64449,4.40908e-05,4.40908e-05,4.40908e-05
95,3393.14,0.57992,1.31026,0.89401,0.99663,0.125,0.12437,0.06426,2.2778,5.25979,2.61532,3.85864e-05,3.85864e-05,3.85864e-05
96,3429.81,0.59957,1.32964,0.90233,0.87163,0.125,0.12437,0.06221,2.27952,5.28204,2.62017,3.3082e-05,3.3082e-05,3.3082e-05
97,3470.03,0.5956,1.52744,0.90894,0.87158,0.125,0.12437,0.06221,2.27335,5.26766,2.60513,2.75776e-05,2.75776e-05,2.75776e-05
98,3509.36,0.57139,1.46057,0.89205,0.8715,0.125,0.12437,0.05081,2.25112,5.24516,2.59024,2.20732e-05,2.20732e-05,2.20732e-05
99,3547.98,0.50617,1.21036,0.89947,0.8715,0.125,0.12437,0.05081,2.25972,5.2426,2.58106,1.65688e-05,1.65688e-05,1.65688e-05
100,3583.26,0.57279,1.32271,0.91972,0.99645,0.125,0.12437,0.0498,2.21793,5.2666,2.55098,1.10644e-05,1.10644e-05,1.10644e-05
